City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Santiago,CL,63.55,clear sky,-33.4569,-70.6483,Hotel Panamericano
418,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
419,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
420,Kroya,ID,72.46,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
422,Svetlyy,RU,70.97,broken clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
423,Porangatu,BR,84.83,scattered clouds,-13.4408,-49.1486,Wembley Park Hotel
424,Kabanjahe,ID,63.03,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
425,Iskandar,UZ,74.12,clear sky,41.5539,69.7008,Forel мехмонхонаси
426,Yatou,CN,80.08,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
427,Buala,SB,81.03,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
428,Kharan,PK,89.96,few clouds,28.5833,65.4167,Dil Aram Bangla
429,Partenit,UA,74.01,clear sky,44.578,34.3446,Приватотель
430,Mattru,SL,72.79,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
432,Aksu,CN,74.25,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
433,Diu,IN,79.23,overcast clouds,20.7141,70.9822,Hotel Relax Inn
434,Karur,IN,77.13,overcast clouds,10.95,78.0833,Hotel Valluvar
436,Jumla,NP,63.46,overcast clouds,29.2747,82.1838,Royal Garden Hotel
437,Anta,IN,82.51,few clouds,25.15,76.3,Agnisaman Kendra
439,Valparaiso,CL,61.03,few clouds,-33.0393,-71.6273,Hotel Ultramar
440,Zinder,NE,87.39,overcast clouds,13.8072,8.9881,Hotel de Ville
442,Muravlenko,RU,61.65,overcast clouds,63.7898,74.523,Hostel Rus Muravlenko
443,Azare,NG,79.97,light rain,11.6765,10.1948,Mallam Ayuba Compound
444,Luwuk,ID,73.45,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
446,Mahanoro,MG,64.44,few clouds,-19.9,48.8,BUNGALOW MAHAMANINA
447,Kamiiso,JP,68.38,broken clouds,41.8167,140.65,Business Inn Abe
448,Ust-Nera,RU,65.43,overcast clouds,64.5667,143.2,Hotel Ust-Nera
449,Lovozero,RU,62.26,moderate rain,68.005,35.0117,Country house Lovozero
450,Ereymentau,KZ,61.11,few clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
451,Cardston,CA,68.29,broken clouds,49.2,-113.3019,Flamingo Motel
452,Machaneng,BW,67.44,clear sky,-23.1862,27.4886,Matswelo Hotel
456,Romitan,UZ,82.0,clear sky,39.9343,64.3814,Hotel Temur
457,Kisangani,CD,74.79,broken clouds,0.5167,25.2,Grand Ramela Hotel
458,Amga,RU,63.1,overcast clouds,60.8953,131.9608,Algys
460,Manavalakurichi,IN,76.12,overcast clouds,8.1333,77.3,Jebinrio home
462,Aizawl,IN,66.69,light rain,23.7333,92.7167,Riak Maw Inn
463,Amuntai,ID,70.92,broken clouds,-2.4177,115.2494,Hotel Balqis
464,Karratha,AU,62.47,clear sky,-20.7377,116.8463,ibis Styles Karratha
466,Sola,VU,83.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
467,Motril,ES,81.03,clear sky,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
468,Hami,CN,85.15,overcast clouds,42.8,93.45,Laoyutang Resort
469,Bud,US,84.18,few clouds,39.447,-86.1758,Ted McQuinn Trust
470,Hoquiam,US,78.37,clear sky,46.9809,-123.8893,Econo Lodge Inn & Suites
472,Deseronto,CA,87.48,scattered clouds,44.2001,-77.0494,Mohawk Bay Trailer Park
473,Ludvika,SE,60.6,broken clouds,60.1496,15.1878,Ludvika Stadshotell
474,Paredon,MX,85.53,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
475,Skuodas,LT,76.86,broken clouds,56.2667,21.5333,Skuodiskio uzeiga
477,Murgab,TM,76.87,clear sky,37.4966,61.9714,Wepa Nurlyýew
479,Hirara,JP,84.67,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
480,Sulangan,PH,81.9,overcast clouds,11.1373,123.7228,Maia's Beach Resort
481,Senanga,ZM,61.79,clear sky,-16.1167,23.2667,Zango lodge
483,Porto Novo,IT,82.76,clear sky,44.532,11.752,Ca' del sole
486,Pipar,IN,82.17,overcast clouds,26.3856,73.5378,Aadam Mansion
487,Farafenni,GM,75.27,overcast clouds,13.5667,-15.6,Eddy's Hotel
488,Charcas,MX,78.76,clear sky,23.1333,-101.1167,Hotel El Malacate
489,Brusque,BR,65.44,clear sky,-27.0981,-48.9175,Monthez Hotel e Eventos
490,Manokwari,ID,76.95,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
491,Veselynove,UA,73.81,broken clouds,47.3567,31.2349,Отель «Колос»
493,Crossville,US,80.89,scattered clouds,35.949,-85.0269,Hampton Inn Crossville
494,Corinth,GR,78.89,clear sky,37.9407,22.9573,Ephira Hotel
